"result_id","dataset","scene","system/arm","pipeline_stage","metric_name","numerator","denominator","value","threshold_or_k","scope","comparison_group","development_or_transfer_status","primary_source_artifact","source_commit_or_tag","notes"
"A12","Replica (Phase 8)","office_0","C1 / Mask3D raw masks (pre-composition), @0.2 bundle","raw proposal viability (orthogonal cut to the failure classes)","entities with a viable individual raw mask @ IoU 0.50","13","47","13/47","IoU >= 0.50, single raw mask","proposal_ceiling","vs delivered 12/47","transfer/extension scene","docs/c1_closeout.md","a519a8f","CEILING, NOT DELIVERED PERFORMANCE. Stated as 'Mask3D has a viable individual raw mask for 13/47, 20/53, 21/45, 53/194 entities (107/339 ~ 32%)'. Corroborated by gitignored runs/phase8_c1/ms02/office_0_failure_classes.json n_viable_raw_at_05 = 13, raw_proposal_recall_at_iou['0.5'] = 0.2765957446808511, n_viable_raw_not_recovered = 1."
"A13","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2 (oracle labels + oracle structural surfaces INJECTED — evaluation-only isolation)","downstream QA: graph builder + Router vs the human-verified key","uid micro-P vs human key","—","—","null (0 cited)","n/a","identity_oracle","A (oracle boxes) 1.00; B 1.00","transfer/extension scene; key human_verified by project_owner 2026-08-01","docs/c1_p2_composer_protocol.md","32fb4ee","'Frozen QA anchors (uid micro metrics vs human keys)' table: office_0 C1 reference row = 'null (0 cited) / 0.00 / 0'. NOT A NUMBER — precision is undefined because C1 cites zero members on the only exhaustive relation. The C1 arm consumes oracle labels via exact vertex correspondence (runs/.../replica_office_0_c1_run.json isolation_statement: 'labels and structural surfaces were INJECTED from oracle data for C1 isolation; only instance boundaries are learned') — hence scope identity_oracle, not deployable."
"A14","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2 (oracle labels + surfaces injected)","downstream QA vs human-verified key","uid micro-R vs human key","0","8","0.00","n/a","identity_oracle","A 0.375 (3/8); B 0.625 (5/8)","transfer/extension scene","docs/c1_p2_composer_protocol.md","32fb4ee","Value 0.00 from the Frozen QA anchors table. Denominator is directly determinable: office_0's human key has exactly ONE exhaustive relation family (ON_ENTITY_SURFACE) with 8 expected members total — tracked eval/questions/phase8/replica_office_0_qa.json (commit 4f38766), answer_key_type=human_verified. Gitignored runs/mvp_v0/replica_office_0_mvp.json states per_relation ON_ENTITY_SURFACE n_hit=0, n_expected=8, n_cited=0. docs/results_narrative.md (99d3899) notes 'office_0's C1/C2 are true zeros'."
"A15","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2 (oracle labels + surfaces injected)","downstream QA vs human-verified key","support-answer hits (ON_ENTITY_SURFACE, exhaustive rows)","0","8","0","n/a","identity_oracle","A 3/8; B 5/8","transfer/extension scene","docs/c1_p2_composer_protocol.md","32fb4ee","The doc states the hit count as '0' with NO denominator. Denominator 8 taken from tracked eval/questions/phase8/replica_office_0_qa.json (Q05 'what is on the table?' 7 members + Q13 'what is on the plant-stand?' 1 member; all other ON_ENTITY_SURFACE rows have 0) and corroborated by n_expected=8 in gitignored runs/mvp_v0/replica_office_0_mvp.json. docs/c2_matched_labels_protocol.md: 'Against the office human key, C1 and C2 both have uid micro-R 0.0 and zero support hits'."
"A16","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2","downstream QA — graph size","graph edges","103","—","103","n/a","identity_oracle","A 480; B 480","transfer/extension scene","runs/mvp_v0/replica_office_0_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). variants.C1.n_graph_edges = 103 (C2 identical). No tracked doc states office_0's edge count (docs/c1_m2c_protocol.md states edge counts only for room_2)."
"A17","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2 (oracle labels injected)","downstream QA vs human-verified key","semantic citation (uid-correct citations that also carry the canonical label)","16","16","1.0 (16/16)","n/a","identity_oracle","C2 (learned labels) 0.3125 (5/16)","transfer/extension scene","docs/c2_matched_labels_protocol.md","4f38766","NOT A CAPABILITY MEASURE. The doc states C1 = 1.0 'by construction, which doubles as a scorer self-check' — C1 receives the oracle labels, so this row can only be 1.0. Denominator 16 = uid-correct citations, NOT the 47 GT entities and NOT the 8 exhaustive key members."
"A18","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2 (oracle labels + surfaces injected)","downstream QA vs variant B (auto baseline, NOT the human key)","answer micro-recall vs B","—","—","0.40","n/a","identity_oracle","B = the reference answer set","transfer/extension scene","docs/c1_closeout.md","a519a8f","Headline table 'answer recall vs B' column. DIFFERENT KEY from the uid micro-R row above (B is a machine baseline, not the human key) — do not merge with A-office0-qa-uid-microR. Unrounded value in gitignored runs/phase8_c1/ms02/replica_office_0_c1_run.json: micro_recall_vs_B = 0.3953488372093023; companion micro_precision_vs_B = 0.85. docs/c1_m2c_protocol.md declares B-relative metrics disallowed for optimization."
"A19","Replica (Phase 8)","office_0","C1 arm on frozen Mask3D @0.2","downstream QA vs variant B","support-answer recall vs B","0","5","0.00 (0/5)","n/a","identity_oracle","B reference","transfer/extension scene","docs/c1_closeout.md","a519a8f","Headline table. Denominator 5 = n_support_answers_B. Recovery of the items ON supports, not of the supports themselves."
"A20","Replica (Phase 8)","office_0","C1 / Mask3D @0.2 frozen ms02","detection recall, support-owner class slice","support-OWNER recall @ IoU 0.50","7","7","1.00 (7)","IoU >= 0.50, classes {table, desk, shelf, counter, stool, bench, sofa, chair, plant-stand}","delivered","n/a","transfer/extension scene","docs/c1_closeout.md","a519a8f","Headline table 'support-OWNER R@0.5' column = 1.00 with 7 oracle owner objects. Doc's reading rule: this measures recovery of the SUPPORTING furniture, NOT the items on them. Corroborated by gitignored ms02 exact_eval support_owner.n_oracle_objects=7, recall_at_iou['0.5']=1.0 (['0.75']=0.8571428571428571)."
"A21","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","segmentation — dense assignment output","predicted instance count (ALL predictions, INCLUDING structural-matching ones)","26","—","26","score >= 0.2, min_vertices=20","delivered","n/a","named as the sealed M2C holdout in docs/c1_m2c_protocol.md, BUT docs/c1_p2_composer_protocol.md states 'No sealed scenes exist. All three banks and keys pre-date this protocol.'","docs/uncertainty_policy_prototype.md","fcc15ab","'hard nodes' = 26. Identical to n_pred_instances=26 in gitignored runs/phase8_c1/ms02/replica_room_1_exact_eval.json. NOT entity-only: 4 of the 26 pair with structural/dropped oracle classes."
"A22","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02 (derived C1 eval bundle)","derived C1 eval bundle — entity artifacts","predicted ENTITY count in the delivered C1 bundle","22","—","22","score >= 0.2, min_vertices=20","delivered","n/a","see holdout caveat above","runs/mvp_v0/replica_room_1_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). variants.C1.n_entities = 22. Decomposition from runs/phase8_c1/ms02/replica_room_1_c1_run.json oracle_injection_summary: 22 label-injected + 0 unmatched anonymous; 4 removed as structural/dropped. NO TRACKED DOC STATES THIS NUMBER."
"A23","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","instance matching vs oracle","any-overlap greedy 1:1 matches, INCLUDING structural classes","26","55","26/55","any overlap (no IoU threshold)","delivered","n/a","see holdout caveat above","runs/phase8_c1/ms02/replica_room_1_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_matched = 26 against n_oracle_instances = 55. DENOMINATOR IS 55 ORACLE INSTANCES, NOT 45 entities. Criterion defined in tracked tools/c1_exact_eval.py (97ff382). No tracked doc reports 26."
"A24","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","instance matching vs oracle","any-overlap greedy matches restricted to ENTITY classes (no IoU threshold)","22","45","22","any overlap (no IoU threshold)","delivered","n/a","see holdout caveat above","eval/predictions/phase8_c2/replica_room_1_c2_labels.json","84e2d1b","label_accuracy.n_matched_entity_instances = 22; pinned to the frozen ms02 bundle by applies_to_bundle_output_sha256 = 737e0fd4…. docs/c2_matched_labels_protocol.md reports this as a 'matched entities' column = 22 WITHOUT naming a criterion — AMBIGUITY FLAGGED; criterion resolved from tools/c2_run.py. DO NOT read 22 as matches@IoU0.5 (that is 17), nor as the entity count in the graph (also 22, but a different quantity that happens to coincide here because room_1 has zero unmatched predictions)."
"A25","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.50","17","45","17/45 (0.38)","IoU >= 0.50","delivered","n/a","see holdout caveat above","docs/c1_closeout.md","a519a8f","Headline table. Also stated as 17/45 in docs/c1_p2_composer_protocol.md (32fb4ee). Unrounded ratio in the gitignored ms02 report: recall_at_iou['0.5'] = 0.37777777777777777."
"A26","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.25","19","45","19/45","IoU >= 0.25","delivered","n/a","see holdout caveat above","runs/phase8_c1/ms02/replica_room_1_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_entity_matches_at_iou['0.25'] = 19. No tracked doc reports it."
"A27","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.75","13","45","13/45","IoU >= 0.75","delivered","n/a","see holdout caveat above","runs/phase8_c1/ms02/replica_room_1_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_entity_matches_at_iou['0.75'] = 13."
"A28","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: recovered","17","45","17","IoU >= 0.50 for 'recovered'","delivered","four-way partition","see holdout caveat above","docs/c1_closeout.md","a519a8f","Failure classification table; four classes sum to 45. Composition-stage outcome, NOT proposal coverage (doc's own NOTE)."
"A29","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: merged","20","45","20","n/a","delivered","four-way partition","see holdout caveat above","docs/c1_closeout.md","a519a8f","Of these 20, 4 had a viable individual raw mask (n_merged_with_viable_raw_proposal = 4, gitignored runs/phase8_c1/ms02/room_1_failure_classes.json)."
"A30","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: lost_by_resolver","0","45","0","n/a","delivered","four-way partition","see holdout caveat above","docs/c1_closeout.md","a519a8f","Failure classification table."
"A31","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","failure attribution (composition-stage outcome)","failure class: no_raw_proposal","8","45","8","n/a","delivered","four-way partition","see holdout caveat above","docs/c1_closeout.md","a519a8f","Failure classification table."
"A32","Replica (Phase 8)","room_1","C1 / Mask3D raw masks (pre-composition), @0.2 bundle","raw proposal viability","entities with a viable individual raw mask @ IoU 0.50","21","45","21/45","IoU >= 0.50, single raw mask","proposal_ceiling","vs delivered 17/45","see holdout caveat above","docs/c1_closeout.md","a519a8f","CEILING, NOT DELIVERED. Also stated as the room_1 baseline '21/45' in docs/c1_p1_multiview_proposals_protocol.md (f5737dd, gate H2). Corroborated by gitignored room_1_failure_classes.json n_viable_raw_at_05 = 21, raw_proposal_recall_at_iou['0.5'] = 0.4666666666666667, n_viable_raw_not_recovered = 4. CAUTION: docs/selector_v0_results.md reports 'room_1 | 406 | 13/45' — that is the SAM P1 proposal bank's own ceiling, a DIFFERENT ARM, not Mask3D."
"A33","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2 (oracle labels + surfaces injected)","downstream QA vs human-verified key","uid micro-P vs human key","—","—","0.5714","n/a","identity_oracle","A 0.8333; B 0.90","key human_verified by project_owner 2026-07-31; see holdout caveat above","docs/c1_p2_composer_protocol.md","32fb4ee","'Frozen QA anchors' table: room_1 C1 reference = '0.5714 / 0.1143 / 0'. Also 0.571 in docs/c2_matched_labels_protocol.md and 0.57 in docs/mvp_walkthrough.md (6a83c06). Numerator/denominator NOT stated in any artifact as a fraction; the gitignored runs/mvp_v0/replica_room_1_mvp.json per_relation gives n_cited = 1 (ATTACHED_TO) + 1 (CONTACTS_SURFACE) + 0 (ON_ENTITY_SURFACE) + 5 (SUPPORTS_FLOOR) and n_hit = 0/0/0/4."
"A34","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2 (oracle labels + surfaces injected)","downstream QA vs human-verified key","uid micro-R vs human key","—","—","0.1143","n/a","identity_oracle","A 0.2857; B 0.2571","see above","docs/c1_p2_composer_protocol.md","32fb4ee","Value 0.1143 ('0.114' in docs/c2_matched_labels_protocol.md, '0.11' in docs/mvp_walkthrough.md). NO ARTIFACT STATES THE AGGREGATE FRACTION. Per-relation expected members in the tracked key eval/questions/phase8/replica_room_1_qa.json (e4d3712): SUPPORTS_FLOOR 7, CONTACTS_SURFACE 6, ATTACHED_TO 8, ON_ENTITY_SURFACE 14; per-relation hits from gitignored runs/mvp_v0/replica_room_1_mvp.json: 4, 0, 0, 0. Denominator left as '—' rather than summing, per the no-reconstruction rule."
"A35","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA vs human-verified key","support-answer hits (ON_ENTITY_SURFACE)","0","14","0","n/a","identity_oracle","A 0/14; B 0/14","see above","docs/c1_p2_composer_protocol.md","32fb4ee","Hit count '0' stated with NO denominator. Denominator 14 from the tracked key (Q14 bed 8 + Q15 nightstand 2 + Q16 cabinet 4) and corroborated by n_expected=14 in gitignored runs/mvp_v0/replica_room_1_mvp.json. docs/c2_matched_labels_protocol.md: room_1's support answers 'were already blocked by the allowlist gap' — variant A also scores 0/14, so this is a representation limit, not a segmentation loss."
"A36","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA vs human-verified key","floor hits (SUPPORTS_FLOOR)","4","7","4/7 (precision 0.8, 5 cited)","n/a","identity_oracle","A 6/7; B 6/7","see above","runs/mvp_v0/replica_room_1_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). per_relation.SUPPORTS_FLOOR = {n_cited 5, n_expected 7, n_hit 4, precision 0.8, recall 0.5714}. Denominator 7 corroborated by tracked eval/questions/phase8/replica_room_1_qa.json Q01. NO TRACKED DOC reports room_1's floor hits (docs/c1_m2c_protocol.md reports the floor column for room_2 only)."
"A37","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA vs human-verified key","attached hits (ATTACHED_TO)","0","8","0/8 (1 cited)","2 cm ATTACHED_TO band","identity_oracle","A 1/8; B 1/8","see above","runs/mvp_v0/replica_room_1_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). per_relation.ATTACHED_TO = {n_cited 1, n_expected 8, n_hit 0, precision 0.0, recall 0.0}. Denominator 8 corroborated by tracked eval/questions/phase8/replica_room_1_qa.json Q04. docs/c1_composition_ceiling.md finding 5: attachment is a downstream-semantics limit — even oracle-box variant A scores ~1/14 on room_2."
"A38","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA vs human-verified key","against-the-wall hits (CONTACTS_SURFACE)","0","6","0/6 (1 cited)","n/a","identity_oracle","A 3/6; B 2/6","see above","runs/mvp_v0/replica_room_1_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). per_relation.CONTACTS_SURFACE = {n_cited 1, n_expected 6, n_hit 0}. Denominator 6 corroborated by tracked eval/questions/phase8/replica_room_1_qa.json Q02. No tracked doc reports this."
"A39","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA — graph size","graph edges","114","—","114","n/a","identity_oracle","A 392; B 385","see above","runs/mvp_v0/replica_room_1_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). variants.C1.n_graph_edges = 114 (C2 identical). No tracked doc states it."
"A40","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2 (oracle labels injected)","downstream QA vs human-verified key","semantic citation","12","12","1.00 (12/12)","n/a","identity_oracle","C2 (learned labels) 0.500 (6/12)","see above","docs/c2_matched_labels_protocol.md","4f38766","C1 = 1.0 BY CONSTRUCTION (scorer self-check), per the doc. Denominator 12 = uid-correct citations."
"A41","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA vs variant B (NOT the human key)","answer micro-recall vs B","—","—","0.42","n/a","identity_oracle","B = reference answer set","see above","docs/c1_closeout.md","a519a8f","Headline table 'answer recall vs B'. Unrounded in gitignored runs/phase8_c1/ms02/replica_room_1_c1_run.json: micro_recall_vs_B = 0.42424242424242425; micro_precision_vs_B = 0.875. DO NOT confuse with the human-key uid micro-R of 0.1143 — different key, different denominator."
"A42","Replica (Phase 8)","room_1","C1 arm on frozen Mask3D @0.2","downstream QA vs variant B","support-answer recall vs B","—","0","n/a (0 owners)","n/a","identity_oracle","B reference","see above","docs/c1_closeout.md","a519a8f","Stated as 'n/a (0 owners)'. NOT A ZERO — room_1 has no support-owner objects, so the metric is undefined. Corroborated by n_support_answers_B = 0 and support_answer_recall_vs_B = null in the gitignored ms02 c1_run report."
"A43","Replica (Phase 8)","room_1","C1 / Mask3D @0.2 frozen ms02","detection recall, support-owner class slice","support-OWNER recall @ IoU 0.50","—","0","n/a","IoU >= 0.50","delivered","n/a","see above","docs/c1_closeout.md","a519a8f","Stated 'n/a'. UNDEFINED, NOT ZERO: the tracked evaluator tools/c1_exact_eval.py returns None for an empty id set by design ('a scene with zero support-owner objects has no recall, not a recall of 0'). Gitignored ms02 exact_eval: support_owner.n_oracle_objects = 0, recall_at_iou all null."
"A44","Replica (Phase 8)","room_2","C1 / Mask3D @0.2 frozen ms02","segmentation — dense assignment output","predicted instance count (ALL predictions, INCLUDING structural-matching ones)","23","—","23","score >= 0.2, min_vertices=20","delivered","n/a","DEVELOPMENT scene for C1-M2, C1-M2C and C1-P2","docs/uncertainty_policy_prototype.md","fcc15ab","'hard nodes' = 23. Identical to n_pred_instances=23 in gitignored runs/phase8_c1/ms02/replica_room_2_exact_eval.json. NOT entity-only: 1 of the 23 pairs with a structural/dropped oracle class."
"A45","Replica (Phase 8)","room_2","C1 / Mask3D @0.2 frozen ms02 (derived C1 eval bundle)","derived C1 eval bundle — entity artifacts","predicted ENTITY count in the delivered C1 bundle","22","—","22","score >= 0.2, min_vertices=20","delivered","n/a","development scene","runs/mvp_v0/replica_room_2_mvp.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). variants.C1.n_entities = 22. Decomposition from runs/phase8_c1/ms02/replica_room_2_c1_run.json oracle_injection_summary: 21 label-injected + 1 unmatched anonymous; 1 removed as structural/dropped. NO TRACKED DOC STATES THIS NUMBER."
"A46","Replica (Phase 8)","room_2","C1 / Mask3D @0.2 frozen ms02","instance matching vs oracle","any-overlap greedy 1:1 matches, INCLUDING structural classes","22","61","22/61","any overlap (no IoU threshold)","delivered","n/a","development scene","runs/phase8_c1/ms02/replica_room_2_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_matched = 22 against n_oracle_instances = 61. DENOMINATOR IS 61 ORACLE INSTANCES, NOT 53 entities. No tracked doc reports 22 as a match count."
"A47","Replica (Phase 8)","room_2","C1 / Mask3D @0.2 frozen ms02","instance matching vs oracle","any-overlap greedy matches restricted to ENTITY classes (no IoU threshold)","21","53","21","any overlap (no IoU threshold)","delivered","n/a","development scene","eval/predictions/phase8_c2/replica_room_2_c2_labels.json","84e2d1b","label_accuracy.n_matched_entity_instances = 21; pinned to the frozen ms02 bundle by applies_to_bundle_output_sha256 = 2d994fbf…. docs/c2_matched_labels_protocol.md reports it as 'matched entities | 21' WITHOUT naming a criterion — AMBIGUITY FLAGGED. COINCIDENCE TRAP: room_2's entity matches @ IoU 0.25 is ALSO 21; the two are different measurements that happen to agree here. Matches @ IoU 0.50 is 18."
"A48","Replica (Phase 8)","room_2","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.50","18","53","18/53 (0.34)","IoU >= 0.50","delivered","Segment3D delivered @0.2 = 17/53","development scene","docs/c1_closeout.md","a519a8f","Headline table. Same figure in docs/c1_m2_protocol.md (75960d2), docs/c1_m2c_protocol.md (98b73eb), docs/c1_composition_ceiling.md (98b73eb), docs/c1_p2_composer_protocol.md (32fb4ee) and docs/arkitscenes_mask3d_contract.md ('18/53 = 34%'). Unrounded ratio in the gitignored ms02 report: 0.33962264150943394."
"A49","Replica (Phase 8)","room_2","C1 / Mask3D @0.2 frozen ms02","detection recall vs oracle entities","entity matches @ IoU 0.25","21","53","21/53","IoU >= 0.25","delivered","n/a","development scene","runs/phase8_c1/ms02/replica_room_2_exact_eval.json","untracked (runs/ is gitignored); repo HEAD c8e200d","SOURCE NOT TRACKED (runs/ and data/ are gitignored). n_entity_matches_at_iou['0.25'] = 21. No tracked doc reports it. Numerically equal to the entity-only any-overlap match count (21) — distinct metrics."
