"claim_id","paper_section","claim","result_ids","scopes","values_at_78d5d80","scope_note"
"CL12","§4.2","Seven items are ceiling-correct but delivered-unanswered","F64","identity_oracle","F64=7 / 12 (= 7 of the 10 scored items)","identity_oracle attribution diagnostic — the bound-vs-delivered comparison that identifies identity as the binding stage; not performance"
"CL13","§4.2","Delivered-graph-unique wins 0 against a predeclared bar of 2","F60","delivered","F60=0 (required >= 2) — BAR NOT MET","delivered"
"CL14","§4.2","The grounding bridge failed all three predeclared gates","F67 F68 F69","deployable","F67=0.583 (required >= 0.80) — FAIL; F68=0.467 (required >= 0.60) — FAIL; F69=0 (required >= 2) — FAIL","deployable"
"CL15","§3.3","A predeclared clause was structurally unreachable and came in at 0.0000","F25 F27","deployable","F25=0.0000 (required >= 0.10) — MISSED; F27=false","deployable; the pre-registration example"
"CL16","Abstract; §4.3","On an untouched room direct RGB answers 5/10, declining the other 5","F76 F78","deployable","F76=5 / 10; F78=5 / 10","deployable END-TO-END"
"CL17","Abstract; §4.3","with zero wrong answers","F77 F86","deployable","F77=0 / 10; F86=0 (zero)","deployable END-TO-END"
"CL18","§4.3","and perfect accuracy when it answers","F85","deployable","F85=1.000","deployable END-TO-END"
"CL19","Abstract; §4.3","but declines all three non-co-visible items","F79","deployable","F79=0 / 3 correct, 3 / 3 unanswered","denominator 3, NOT 10 — do not merge with the pooled row"
"CL20","§4.3","Presence 3/3 and comparative 2/4","F80 F81","deployable","F80=3 / 3 correct, 0 unanswered; F81=2 / 4 correct, 2 unanswered","per-form denominators 3 and 4"
"CL21","Abstract; §4.3","Both predeclared gates failed and no transfer claim is made","F82 F83 F88","deployable","F82=0.50 (required >= 0.60) — FAIL; F83=0.50 (required >= 0.80) — FAIL; F88=NONE — both gates failed; demo remains a fixed evaluation replay","deployable"
"CL22","§4.4","Delivered instance recovery at IoU 0.50 on three Replica scenes","A05 A25 A48","delivered","A05=12/47 (0.26); A25=17/45 (0.38); A48=18/53 (0.34)","delivered"
"CL23","§4.4","A multiview proposal generator raises the proposal ceiling","B01 B03 B04 B06 B07 B09","proposal_ceiling","B01=20/53; B03=33/53; B04=13/47; B06=19/47; B07=21/45; B09=26/45","proposal_ceiling — oracle-evaluated bound, never a delivered or QA gain"
"CL24","§4.4","A semantics revision raised support hits but did not transfer, and the track stopped","E01 E02 E03 E10 E12 E21","definition-change, proposal_ceiling","E01=5/20; E02=16/20; E03=0.94; E10=0.58; E12=0.36; E21=STOP_TRACK","definition-change — benchmark definition moved, not the model"
"CL25","§6","The support result is exploratory and excluded from the claims","E27 E28 E29","delivered","E27=1/3; E28=1.0; E29=0.3333333333333333","EXPLORATORY — explicitly NOT a headline"
"CL26","§4.2","The direct-RGB arm was wrong on 2 of 10 on the development rooms","F51","deployable","F51=2 / 10","development-room error baseline; the contrast §4.3's zero-wrong must be read against"
"CL27","§4.2","Ten of twelve items were scored after the owner marked two ambiguous","F65","definition-change","F65=2 / 12 excluded -> 10 scored","definition-change — the scored denominator, not a model result"
"CL28","§4.2","The grounding bridge admitted 12 of 17 anchors, 7 of them correct","F70","deployable","F70=12 / 17 admitted; 15 / 17 human-resolvable; 7 admissions correct","bridge admissions, NOT the delivered label stage; 17 anchors, 15 human-resolvable, 12 admitted, 7 correct — do not interchange"
"CL29","§4.2","The bridge admitted a UID for an object the owner marked absent","F75","bug-diagnostic","F75=1 of 12 admissions","bug-diagnostic — a mechanism diagnostic, never a model before/after"
"CL31","§4.3","Run 2 was authored and scored once at n=10","F84","deployable","F84=10 (required >= 6) — PASS","protocol disclosure — the scored set size after two pre-response amendments"
"CL32","§4.3","The two-view sufficiency gate never fired on the development rooms","F66","deployable","F66=0 of 7 thin-evidence items (0 wrong answers suppressed, 0 correct answers suppressed)","abstention behaviour on the dev rooms; establishes that behaviour CHANGED rather than transferred"
"CL33","§4.3","On the unseen room the arm answered 2 of 6 thin-evidence items, both correct","F87","deployable","F87=2 answered of 6, both correct","single unseen room; supports the narrower abstention statement, not a transfer claim"
"CL34","§4.4","The multiview generator alone is below the Mask3D baseline on both transfer scenes","B02 B05 B08","proposal_ceiling","B02=25/53; B05=12/47; B08=13/45","proposal_ceiling — oracle-evaluated upper bounds; generator-alone attribution, never a delivered or QA gain"
"CL35","§6","An earlier key scored a cardinality item on an unstated counting convention","F14","deployable","F14=2 / 6","the registry does not adjudicate the true count; reported as an unresolved disagreement"
